market,date_started,week_end_date,price_per_quintal,year,month
Sehjanwa APMC,2025-11-09,2025-11-15,,2025,11
Shadabad APMC,2025-11-09,2025-11-15,1801.22,2025,11
Shahabad(New Mandi) APMC,2025-11-09,2025-11-15,,2025,11
Shahaswan APMC,2025-11-09,2025-11-15,,2025,11
Shahganj APMC,2025-11-09,2025-11-15,,2025,11
Shahjahanpur APMC,2025-11-09,2025-11-15,,2025,11
Shahpur APMC,2025-11-09,2025-11-15,,2025,11
Shamli APMC,2025-11-09,2025-11-15,,2025,11
Sikanderabad APMC,2025-11-09,2025-11-15,,2025,11
Sikarpur APMC,2025-11-09,2025-11-15,1515.15,2025,11
Sirsa APMC,2025-11-09,2025-11-15,,2025,11
Sirsaganj APMC,2025-11-09,2025-11-15,,2025,11
Sitapur APMC,2025-11-09,2025-11-15,1990.0,2025,11
Siyana APMC,2025-11-09,2025-11-15,1667.61,2025,11
Sultanpur APMC,2025-11-09,2025-11-15,,2025,11
Tamkuhi road APMC,2025-11-09,2025-11-15,,2025,11
Thanabhavan APMC,2025-11-09,2025-11-15,,2025,11
Tilhar APMC,2025-11-09,2025-11-15,,2025,11
Tulsipur APMC,2025-11-09,2025-11-15,2170.44,2025,11
Tundla APMC,2025-11-09,2025-11-15,,2025,11
Ujhani APMC,2025-11-09,2025-11-15,2450.0,2025,11
Unnao APMC,2025-11-09,2025-11-15,2350.0,2025,11
Uttaripura APMC,2025-11-09,2025-11-15,1922.96,2025,11
Varanasi APMC,2025-11-09,2025-11-15,,2025,11
Varanasi(F&V) APMC,2025-11-09,2025-11-15,2098.21,2025,11
Varipaal APMC,2025-11-09,2025-11-15,2026.91,2025,11
Vishalpur APMC,2025-11-09,2025-11-15,2142.54,2025,11
Viswan APMC,2025-11-09,2025-11-15,2199.38,2025,11
Wazirganj APMC,2025-11-09,2025-11-15,1638.18,2025,11
Yusufpur APMC,2025-11-09,2025-11-15,,2025,11
Average,2025-11-09,2025-11-15,2114.92,2025,11
Achalda APMC,2025-10-01,2025-10-08,1943.45,2025,10
Achnera APMC,2025-10-01,2025-10-08,2132.86,2025,10
Agra APMC,2025-10-01,2025-10-08,2142.85,2025,10
Ahirora APMC,2025-10-01,2025-10-08,,2025,10
Ajuha APMC,2025-10-01,2025-10-08,2254.76,2025,10
Akbarpur APMC,2025-10-01,2025-10-08,2038.26,2025,10
Aligarh APMC,2025-10-01,2025-10-08,2154.44,2025,10
Allahabad APMC,2025-10-01,2025-10-08,1984.7,2025,10
Amroha APMC,2025-10-01,2025-10-08,1941.14,2025,10
Anandnagar APMC,2025-10-01,2025-10-08,2349.23,2025,10
Anoop Shahar APMC,2025-10-01,2025-10-08,2454.55,2025,10
Anwala APMC,2025-10-01,2025-10-08,2045.71,2025,10
Atarra APMC,2025-10-01,2025-10-08,,2025,10
Auraiya APMC,2025-10-01,2025-10-08,1962.34,2025,10
Awagarh APMC,2025-10-01,2025-10-08,1900.0,2025,10
Azamgarh APMC,2025-10-01,2025-10-08,2173.11,2025,10
Bachranwa APMC,2025-10-01,2025-10-08,2335.7,2025,10
Badayoun APMC,2025-10-01,2025-10-08,1925.8,2025,10
Bagpat APMC,2025-10-01,2025-10-08,2433.33,2025,10
Bahraich APMC,2025-10-01,2025-10-08,1843.9,2025,10
Ballia APMC,2025-10-01,2025-10-08,2149.57,2025,10
Balrampur APMC,2025-10-01,2025-10-08,1976.5,2025,10
Banda APMC,2025-10-01,2025-10-08,1991.39,2025,10
Bangarmau APMC,2025-10-01,2025-10-08,2286.45,2025,10
Barabanki APMC,2025-10-01,2025-10-08,2075.52,2025,10
Baraut APMC,2025-10-01,2025-10-08,2100.8,2025,10
Bareilly APMC,2025-10-01,2025-10-08,1803.33,2025,10
Basti APMC,2025-10-01,2025-10-08,2075.64,2025,10
Bewar APMC,2025-10-01,2025-10-08,2078.0,2025,10
